生徒番号	骨格構造	主観分類	主観評価
1	[22, 'そこで', 14, 'そのため', 5]	創造・工学的	高
2	[41, 'だが', 12, 'また', 28, 'また', 15]	分解・自然科学的	高
3	[11, 'そこで', 13, 'また', 37]	無方向	高
4	[22, '例えば', 63]	数学的	高
5	[20, 'しかも', 2, 'でも', 15]	創造・工学的	中
6	[16, 'また', 7, 'なぜなら', 1, 'ただ', 11, 'また', 4]	分解・自然科学的	低
7	[55, 'また', 2]	分解・自然科学的	中
8	[15, 'だから', 3, 'そこで', 18]	分解・自然科学的	低
9	[12, 'そのため', 8, 'だから', 3, 'まずは', 4]	分解・自然科学的	中
10	[11]	分解・自然科学的	低
11	[42, 'ただし', 18]	数学的	低
12	[76, 'そこで', 13]	分解・自然科学的	高
13	[10, 'また', 52]	分解・自然科学的	中
14	[21, 'また', 20]	分解・自然科学的	低
15	[11, 'また', 80]	創造・工学的	低
16	[15, 'また', 7, 'また', 3]	創造・工学的	低
17	[12, 'しかし', 5, 'しかも', 3, 'そのため', 11, 'そのため', 14, 'また', 5]	分解・自然科学的	低
18	[3, 'たとえば', 25]	分解・自然科学的	中
19	[45]	分解・自然科学的	中
20	[12, 'もしくは', 4, 'また', 19]	分解・自然科学的	中
21	[16, 'そこで', 3, 'かつ', 23, 'かつ', 84, '及び', 50]	創造・工学的	高
21	[131]	創造・工学的	高
21	[0]	創造・工学的	高
21	[0]	創造・工学的	高
22	[10, 'ところが', 23, 'また', 9, 'そして', 10, 'それから', 30, 'だから', 33, 'また', 68]	分解・自然科学的	低
23	[22, 'そして', 46, 'また', 7]	分解・自然科学的	低
24	[38, 'また', 113, 'しかし', 38]	創造・工学的	高
24	[13, 'そして', 8, 'また', 19, 'また', 21]	創造・工学的	高
25	[8]	無方向	高
26	[29, 'しかし', 24, 'そこで', 40]	創造・工学的	高
27	[117, 'また', 20]	無方向	高
28	[3, 'だから', 14, 'また', 7, 'また', 19]	分解・自然科学的	低
29	[15, 'また', 5, 'また', 8, 'また', 10, 'そこで', 16]	分解・自然科学的	中
30	[29, 'または', 38, 'でも', 31, 'なぜなら', 7]	無方向	中
31	[181, 'そして', 6]	創造・工学的	高
31	[7, 'それで', 71]	創造・工学的	高
32	[49, 'また', 8]	分解・自然科学的かつ創造・工学的	中
33	[5, 'それで', 17, 'また', 6, '例えば', 13]	分解・自然科学的	高
34	[78]	分解・自然科学的かつ創造・工学的	高
35	[36, 'ただ', 3, 'でも', 29, 'だが', 36, 'でも', 18, 'よって', 17, '及び', 3]	創造・工学的	低
36	[41, 'しかし', 41, 'ところが', 5, 'また', 52, 'しかも', 19, 'つまり', 4]	分解・自然科学的	低
36	[0, 'そして', 39, 'そして', 1, 'また', 0, 'ところが', 33, 'そのため', 106]	分解・自然科学的	低
36	[68]	分解・自然科学的	低
37	[11, 'しかも', 30]	無方向	高
38	[10, 'また', 15, 'また', 3, 'そこで', 52, 'また', 10, 'また', 7, 'そこで', 10]	創造・工学的	高
39	[112]	創造・工学的	中
40	[32]	分解・自然科学的	中
41	[43, 'それなら', 12, 'しかし', 7, 'そこで', 55]	分解・自然科学的	低
42	[8, 'そこで', 54, 'すると', 29]	分解・自然科学的	高
43	[26, 'そして', 4, 'そして', 3, 'また', 7, 'そして', 11]	分解・自然科学的	低
44	[23, 'そこで', 8, 'また', 2]	創造・工学的	高
